time,corridor,hs6,desc,value_usd
2023-01,CN->BR,030381,,44218
2023-01,CN->BR,030473,,126366
2023-01,CN->BR,030474,,507442
2023-01,CN->BR,030475,,1130595
2023-01,CN->BR,030532,,5831010.0
2023-01,CN->BR,030569,,289100
2023-01,CN->BR,030743,,745472
2023-01,CN->BR,050210,,208936
2023-01,CN->BR,050400,,9786394.0
2023-01,CN->BR,051199,,10620
2023-01,CN->BR,070320,,2102606
2023-01,CN->BR,070951,,26462
2023-01,CN->BR,071021,,6894
2023-01,CN->BR,071029,,80143
2023-01,CN->BR,071030,,15255
2023-01,CN->BR,071040,,5617
2023-01,CN->BR,071080,,132901
2023-01,CN->BR,071090,,15013
2023-01,CN->BR,071151,,1210129
2023-01,CN->BR,071220,,534400
2023-01,CN->BR,071239,,30296
2023-01,CN->BR,071290,,2831456.0
2023-01,CN->BR,080830,,123907
2023-01,CN->BR,081110,,14096
2023-01,CN->BR,081120,,228343
2023-01,CN->BR,081190,,9988
2023-01,CN->BR,081340,,39977
2023-01,CN->BR,090210,,1200
2023-01,CN->BR,090220,,15961
2023-01,CN->BR,090422,,502497
2023-01,CN->BR,090961,,33344
2023-01,CN->BR,091012,,16827
2023-01,CN->BR,110290,,371
2023-01,CN->BR,110820,,89968
2023-01,CN->BR,110900,,306598
2023-01,CN->BR,120770,,168517
2023-01,CN->BR,120799,,431535
2023-01,CN->BR,120930,,17885
2023-01,CN->BR,120991,,390364
2023-01,CN->BR,120999,,30529
2023-01,CN->BR,121190,,11033
2023-01,CN->BR,121221,,560095
2023-01,CN->BR,121229,,20279
2023-01,CN->BR,121299,,1125
2023-01,CN->BR,130190,,793
2023-01,CN->BR,130212,,243
2023-01,CN->BR,130219,,1515347.0
2023-01,CN->BR,130220,,220272
2023-01,CN->BR,130232,,117356.0
2023-01,CN->BR,130239,,206941.0
2023-01,CN->BR,140110,,11585
2023-01,CN->BR,140490,,3540
2023-01,CN->BR,150410,,67770
2023-01,CN->BR,150420,,12008
2023-01,CN->BR,150500,,47642
2023-01,CN->BR,150600,,7500
2023-01,CN->BR,151550,,18824
2023-01,CN->BR,151590,,41083
2023-01,CN->BR,151790,,9174
2023-01,CN->BR,152190,,11840
2023-01,CN->BR,160420,,165673
2023-01,CN->BR,170211,,19538
2023-01,CN->BR,170230,,510028.0
2023-01,CN->BR,170290,,405
2023-01,CN->BR,170410,,442424
2023-01,CN->BR,170490,,1246523.0
2023-01,CN->BR,180500,,6900
2023-01,CN->BR,190190,,27323
2023-01,CN->BR,190219,,65048
2023-01,CN->BR,190230,,70654
2023-01,CN->BR,190300,,756
2023-01,CN->BR,190410,,49735
2023-01,CN->BR,190490,,570
2023-01,CN->BR,190531,,22108
2023-01,CN->BR,190590,,76042
2023-01,CN->BR,200190,,47630
2023-01,CN->BR,200390,,18020
2023-01,CN->BR,200490,,1981
2023-01,CN->BR,200520,,9969
2023-01,CN->BR,200560,,49247
2023-01,CN->BR,200591,,692
2023-01,CN->BR,200599,,134381
2023-01,CN->BR,200600,,60762
2023-01,CN->BR,200819,,13785
2023-01,CN->BR,200899,,60126
2023-01,CN->BR,210120,,90245
2023-01,CN->BR,210210,,1079257
2023-01,CN->BR,210220,,15742
2023-01,CN->BR,210230,,702
2023-01,CN->BR,210310,,35513.0
2023-01,CN->BR,210330,,557
2023-01,CN->BR,210390,,101110.0
2023-01,CN->BR,210410,,2791.0
2023-01,CN->BR,210610,,205289
2023-01,CN->BR,210690,,1735463.0
2023-01,CN->BR,220299,,13782
2023-01,CN->BR,230990,,5288763.0
2023-01,CN->BR,240120,,1828961
2023-01,CN->BR,240220,,733
2023-01,CN->BR,250100,,46800.0
2023-01,CN->BR,250410,,2302
2023-01,CN->BR,250490,,1737
2023-01,CN->BR,250510,,87924
2023-01,CN->BR,250590,,86613
2023-01,CN->BR,250700,,26398
2023-01,CN->BR,250810,,275235
2023-01,CN->BR,251110,,31580
2023-01,CN->BR,251310,,1828
2023-01,CN->BR,251320,,116737
2023-01,CN->BR,251690,,90
2023-01,CN->BR,251710,,774
2023-01,CN->BR,251990,,598569.0
2023-01,CN->BR,252020,,4356
2023-01,CN->BR,252329,,74
2023-01,CN->BR,252330,,40396
2023-01,CN->BR,252510,,1760
2023-01,CN->BR,252520,,76908
2023-01,CN->BR,252620,,23001
2023-01,CN->BR,260200,,55406
2023-01,CN->BR,260300,,20863260
2023-01,CN->BR,260600,,48680
2023-01,CN->BR,261510,,4398
2023-01,CN->BR,270111,,862322
2023-01,CN->BR,270750,,19091
2023-01,CN->BR,270799,,1531
2023-01,CN->BR,270810,,5369728
2023-01,CN->BR,271012,,22077
2023-01,CN->BR,271019,,67044833.0
2023-01,CN->BR,271119,,30576
2023-01,CN->BR,271210,,1550
2023-01,CN->BR,271220,,2085092
2023-01,CN->BR,271290,,936613
2023-01,CN->BR,271500,,2990
2023-01,CN->BR,280300,,176996.0
2023-01,CN->BR,280429,,36126
2023-01,CN->BR,280430,,1917
2023-01,CN->BR,280450,,315
2023-01,CN->BR,280469,,442677
2023-01,CN->BR,280470,,202500
2023-01,CN->BR,280490,,49
2023-01,CN->BR,280512,,54466
2023-01,CN->BR,280910,,104441
2023-01,CN->BR,280920,,5702790.0
2023-01,CN->BR,281111,,482296
2023-01,CN->BR,281119,,506007.0
2023-01,CN->BR,281121,,121149
2023-01,CN->BR,281122,,1304442.0
2023-01,CN->BR,281290,,142717
2023-01,CN->BR,281511,,1706207
2023-01,CN->BR,281520,,1556080
2023-01,CN->BR,281640,,6150
2023-01,CN->BR,281810,,330912.0
2023-01,CN->BR,281820,,308460.0
2023-01,CN->BR,281830,,284811
2023-01,CN->BR,282010,,300691
2023-01,CN->BR,282110,,314246.0
2023-01,CN->BR,282300,,1188614
2023-01,CN->BR,282510,,51188
2023-01,CN->BR,282570,,19
2023-01,CN->BR,282580,,408501
2023-01,CN->BR,282612,,483180
2023-01,CN->BR,282619,,181569
2023-01,CN->BR,282690,,427991.0
2023-01,CN->BR,282710,,407810
2023-01,CN->BR,282720,,61578
2023-01,CN->BR,282731,,17989
2023-01,CN->BR,282732,,13279
2023-01,CN->BR,282739,,411767.0
2023-01,CN->BR,282751,,140
2023-01,CN->BR,282760,,2245
2023-01,CN->BR,282810,,1247903
2023-01,CN->BR,282890,,514751
2023-01,CN->BR,282990,,44326
2023-01,CN->BR,283010,,889093.0
2023-01,CN->BR,283090,,102689
2023-01,CN->BR,283110,,343944.0
2023-01,CN->BR,283210,,939786.0
2023-01,CN->BR,283311,,1981916
2023-01,CN->BR,283321,,224334
2023-01,CN->BR,283327,,195061
2023-01,CN->BR,283329,,2155144.0
2023-01,CN->BR,283340,,326353.0
2023-01,CN->BR,283410,,117846
2023-01,CN->BR,283429,,31224
2023-01,CN->BR,283510,,324785.0
2023-01,CN->BR,283522,,187092
2023-01,CN->BR,283524,,272789
2023-01,CN->BR,283525,,1242473
2023-01,CN->BR,283526,,2959547
2023-01,CN->BR,283529,,156074
2023-01,CN->BR,283531,,2533167.0
2023-01,CN->BR,283539,,647643.0
2023-01,CN->BR,283620,,573035
2023-01,CN->BR,283630,,50464
2023-01,CN->BR,283640,,46690
2023-01,CN->BR,283660,,32053
2023-01,CN->BR,283691,,205
2023-01,CN->BR,283699,,1281825.0
2023-01,CN->BR,283711,,106292
2023-01,CN->BR,283720,,85282
2023-01,CN->BR,283911,,10117
2023-01,CN->BR,283990,,9471.0
2023-01,CN->BR,284020,,52
2023-01,CN->BR,284030,,72935
2023-01,CN->BR,284169,,414
