corridor,hs6,desc,recent_avg_usd,baseline_avg_usd,growth_pct,z_score,recent_months,score
BR->US,730820,TOWERS AND LATTICE MASTS OF IRON OR STEEL,5950870,0,NEW,,"2026-04,2026-05,2026-06",67739.03004922358
BR->US,290270,CUMENE,2924631,0,NEW,,"2026-04,2026-05,2026-06",64654.244224413495
BR->US,290513,BUTAN-1-OL (N-BUTYL ALCOHOL),1996040,0,NEW,,"2026-04,2026-05,2026-06",62995.39223236361
BR->US,846263,SERVO-PRESSES FOR WORKING COLD METAL,1521934,0,NEW,,"2026-04,2026-05,2026-06",61817.77674810121
BR->US,470319,CHEM WDPULP SULFATE EX DISSLVNG GR NONCONIF UNBLCH,688795,0,NEW,,"2026-04,2026-05,2026-06",58375.06176891419
BR->US,291020,METHYLOXIRANE (PROPYLENE OXIDE),621493,0,NEW,,"2026-04,2026-05,2026-06",57928.57130742816
BR->US,810197,TUNGSTEN WASTE AND SCRAP,490167,0,NEW,,"2026-04,2026-05,2026-06",56897.75035054347
BR->US,720292,FERROVANADIUM,443893,0,NEW,,"2026-04,2026-05,2026-06",56467.13242521176
BR->US,721011,FR IOS NA 600MM AO W TIN COATD OR PLTD 0.5MM AO TH,441485,0,NEW,,"2026-04,2026-05,2026-06",56443.511330041416
BR->US,721921,FR SS 600MM AO W HR NT CLD OV 10MM THCK,241404,0,NEW,,"2026-04,2026-05,2026-06",53822.06787136955
BR->US,270710,BENZENE,226375,0,NEW,,"2026-04,2026-05,2026-06",53542.929804757834
BR->US,380861,"INSTECT,ETC, SUBHEAD NOTE2, PAKS NET WT <=300G",186924,0,NEW,,"2026-04,2026-05,2026-06",52711.386738237714
BR->US,020610,"OFFAL OF BOVINE ANIMALS, EDIBLE, FRESH OR CHILLED",124445,0,NEW,,"2026-04,2026-05,2026-06",50944.6679112715
BR->US,846520,MACHINING CENTERS FOR MACH WORKING HARD MATERIALS,108333,0,NEW,,"2026-04,2026-05,2026-06",50342.58630048586
BR->US,480593,"PPR/PBRD,UNCT,RL/ST, WT 225 G/M2 OR MORE, NESOI",107605,0,NEW,,"2026-04,2026-05,2026-06",50313.30613785552
BR->US,010511,"CHICKENS, LIVE, WEIGHING NOT OVER 185 G EACH",101333,0,NEW,,"2026-04,2026-05,2026-06",50052.51753656202
BR->US,710813,"GOLD, NONMONETARY, SEMIMANUFACTURED FORMS NESOI",2350590,2428,96728.4,557.98,"2026-04,2026-05,2026-06",318.5588442111228
BR->US,721499,"BARS,RODS,IRN,NOAL,HOT-ROLLED,-DRAWN-EXTRUDE,NESOI",1132696,3639,31023.0,100.69,"2026-04,2026-05,2026-06",302.70567473261514
BR->US,842549,"JACKS, NESOI; HOISTS FOR RAISING VEHICLES, NESOI",248333,209,118672.4,357.81,"2026-04,2026-05,2026-06",269.75175090143154
BR->US,970400,"POSTAGE OR REVENUE STAMPS, FIRSTDAY COVERS",171894,925,18479.8,97.0,"2026-04,2026-05,2026-06",261.7629937813017
BR->US,900110,"OPTICAL FIBERS, OPTICAL FIBER BUNDLES AND CABLES E",857168,9045,9376.4,40.92,"2026-04,2026-05,2026-06",242.77140887922394
BR->US,300212,ANTISERA AND OTHER BLOOD FRACTIONS,1562131,57405,2621.2,36.81,"2026-04,2026-05,2026-06",227.98499783311232
BR->US,730511,"PIPE, OIL LINE ETC OV16IN IR ST, LONG SUB ARC WELD",262953,2097,12439.5,37.51,"2026-04,2026-05,2026-06",203.28071411901846
BR->US,847149,"DIGITAL ADP MAC & UNITS,ENTERED AS SYSTEMS, NESOI",135951,2526,5281.3,22.1,"2026-04,2026-05,2026-06",113.46823823018197
BR->US,841191,TURBOJET AND TURBOPROLLER PARTS,705937,40244,1654.2,14.81,"2026-04,2026-05,2026-06",86.60273774366127
BR->US,844190,"PTS OF MAC FR MAKE UP PAPER PULP,PAPER/PAPBRD,CUT",166091,16936,880.7,15.79,"2026-04,2026-05,2026-06",82.40544154933876
BR->US,853529,AUTO CIRCT BREAKER VOLTAGE 72.5 KV OR MORE,1498500,37407,3905.9,11.78,"2026-04,2026-05,2026-06",72.72886762841384
BR->US,960190,"WORKD BONE, CORAL, ETC & OTH ANIMAL CARVINGS NESOI",124356,15460,704.4,13.72,"2026-04,2026-05,2026-06",69.91420022690353
BR->US,846599,MACH TOOLS FOR WORKING WOOD CORK BONE ETC NESOI,228713,9994,2188.6,10.83,"2026-04,2026-05,2026-06",58.01542308311611
BR->US,761090,"ALUMINUM STRUCTURES AND PARTS, NESOI",634540,30705,1966.6,9.96,"2026-04,2026-05,2026-06",57.80274028811633
BR->US,700529,NONWIRED GLASS NESOI IN SHEETS,173812,7108,2345.2,10.13,"2026-04,2026-05,2026-06",53.098555706469654
BR->US,293979,"ALKALOIDS, OF VEGETAL ORIGIN, NESOI",755543,36922,1946.3,8.46,"2026-04,2026-05,2026-06",49.75852507025545
BR->US,843691,PARTS OF POULTRY-KEEP MAC OR POULTRY INCUB & BROOD,196768,11201,1656.7,8.87,"2026-04,2026-05,2026-06",46.9462069259292
BR->US,820730,"TOOLS FOR PRESSING, STAMPING OR PUNCHING, B M PTS",3920993,380730,929.9,6.9,"2026-04,2026-05,2026-06",45.47096066639624
BR->US,730520,"CASING, OIL OR GAS DRILLNG OVER16IN, IRON OR STEEL",6890514,433357,1490.0,6.45,"2026-04,2026-05,2026-06",44.12567143282301
BR->US,730792,"PIPE FITTINGS NESOI, IR OR NONST ST THR ELBOWS ETC",190222,21089,802.0,8.26,"2026-04,2026-05,2026-06",43.5951826867995
BR->US,392062,"PLATES ETC, NONCELL ETC, POLYETHYLENE TEREPHTHLATE",121630,9207,1221.1,8.46,"2026-04,2026-05,2026-06",43.00271199538902
BR->US,842489,MECHANICAL APPLIANCE FOR PROJECTING LIQUIDS NESOI,477293,31047,1437.3,7.3,"2026-04,2026-05,2026-06",41.439013973666995
BR->US,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",327496,45740,616.0,7.49,"2026-04,2026-05,2026-06",41.31199508885812
BR->US,300290,"HUMAN BLOOD; ANIMAL BLOOD PREP, TOXINS, CULTRS ETC",1015835,101867,897.2,6.61,"2026-04,2026-05,2026-06",39.70757404631921
BR->US,701090,"GLASS ARTICL. FOR CONVEYANCE/PACKING OF GOODS,NESO",357596,45696,682.6,7.08,"2026-04,2026-05,2026-06",39.32712139113273
BR->US,330129,"ESSENTIAL OILS, NESOI",644214,93637,588.0,6.45,"2026-04,2026-05,2026-06",37.48976584038609
BR->US,841112,TURBOJETS OF A THRUST EXCEEDING 25 KN,22066738,2021989,991.3,4.95,"2026-04,2026-05,2026-06",36.360943040496245
BR->US,850161,AC  GENERATORS (ALTERNATORS) <=75 KVA OUTPUT,1746957,302202,478.1,5.67,"2026-04,2026-05,2026-06",35.37031331264748
BR->US,811300,"CERMETS AND ARTICLES THEREOF, INC WASTE AND SCRAP",562268,26738,2002.8,6.04,"2026-04,2026-05,2026-06",34.72284443370776
BR->US,841231,"PNEUMATIC POWER ENGINES AND MOTORS, LINEAR ACTING",169981,10259,1556.9,6.6,"2026-04,2026-05,2026-06",34.53830414940621
BR->US,240319,SMOKING TOBACCO W/ OR W/O TOBACCO SUBSTITUTE NESOI,696027,50733,1272.0,5.62,"2026-04,2026-05,2026-06",32.84027159989035
BR->US,730431,OTH IOS NA PS TB HLW PFL SMLS CIR CS COLD-WRKD,260225,30062,765.6,5.68,"2026-04,2026-05,2026-06",30.76685685717248
BR->US,382499,"PRODUCTS AND RESIDUALS OF CHEMICAL INDUSTRY, NESOI",3427994,1104754,210.3,4.67,"2026-04,2026-05,2026-06",30.52638094589124
BR->US,040510,BUTTER,588719,126383,365.8,5.18,"2026-04,2026-05,2026-06",29.884857413820825
BR->US,903089,"INST,MEASURING/CHECKING ELECTRICAL QUANTITIE,NESOI",128041,14642,774.5,5.68,"2026-04,2026-05,2026-06",28.99122772207881
BR->US,880730,"PARTS OF PLANES OR HELICOPTERS, NESOI",27551344,16150372,70.6,3.69,"2026-04,2026-05,2026-06",27.476925639152665
BR->US,844391,"PTS & ACC PRINT MACH BY MEANS OF PLATE, CYLNDR ETC",386193,146969,162.8,4.76,"2026-04,2026-05,2026-06",26.56544534799492
BR->US,090300,MATE,816702,184584,342.5,4.42,"2026-04,2026-05,2026-06",26.10662462895433
BR->US,850164,AC GENERATORS OF AN OUTPUT EXCEEDING 750 KVA,496796,150565,230.0,4.52,"2026-04,2026-05,2026-06",25.74308206510898
BR->US,740929,PLATES SHEETS STRIP OF BRASS OV.15MM THCK NT COILS,146193,12043,1113.9,4.88,"2026-04,2026-05,2026-06",25.225505473043437
BR->US,820720,DIES DRW O EXTR MTL A PTS THRF,121478,9490,1180.1,4.76,"2026-04,2026-05,2026-06",24.20550779921774
BR->US,020629,"OFFAL OF BOVINE ANIMALS, EDIBLE, NESOI, FROZEN",1869227,182953,921.7,3.73,"2026-04,2026-05,2026-06",23.386809144525195
BR->US,282760,IODIDES AND IODIDE OXIDES,199064,18506,975.7,4.35,"2026-04,2026-05,2026-06",23.02435328995253
BR->US,846694,PARTS FOR MACHINES OF HEADING 8462 OR 8463,356337,100784,253.6,3.95,"2026-04,2026-05,2026-06",21.937188886482666
